ID,Fecha_de_creacion_usuario,Fecha_creacion_del_tweet,nombre_usuario,texto,localizacion,numero_seguidores,numero_seguidos,numero_retweets,numero_tweets,numero_favoritos,menciones,retweet
1662781024193921024,21/08/23,23/05/28,ElPeriodico_Esp,"28-M | La exministra y candidata a la Alcaldía de Madrid por el PSOE, Reyes Maroto, ha votado en su colegio electoral

🔗https://t.co/qiXXKLJaMU https://t.co/iGSAcSMFze",España,526,44210,0,57385,294,[],
1662780993013444614,09/04/23,23/05/28,el_pais_madrid,"Las claves de la lucha por el Ayuntamiento de Madrid: Almeida aspira a gobernar en solitario, Más Madrid,   PSOE y Podemos buscan una movilización sin precedentes y Ciudadanos se  la juega

https://t.co/R3lNRrzu1J","Madrid, España",501,241712,0,71197,741,[],
1662780956229488642,17/12/25,23/05/28,Zulam20,RT @publico_es: ¿Tiene Almeida dos caras? David Torres asegura que el alcalde de Madrid es de una forma con los débiles y de otra muy difer…,,60,36,142,14794,215,['publico_es'],publico_es
1662780943260696576,16/11/19,23/05/28,crisp_corva,"RT @voz_populi: 🔴 Pedro Sánchez vota en Madrid entre aplausos y descalificaciones: ""Que te vote Txapote""

https://t.co/NiImUGgTbv",,46,63,110,30501,18898,['voz_populi'],voz_populi
1662780887216390144,22/06/24,23/05/28,Ims63,RT @Mapecuesta331: Florentino Pérez ha dejado atado los mayores urbanísticos de Madrid antes de las elecciones. Ayuso le adjudica Ciudad de…,,346,129,302,27666,64298,['Mapecuesta331'],Mapecuesta331
1662780880899780609,10/12/03,23/05/28,tessaweb,RT @gob_corrupto_es: #ULTIMAHORA ATENCIÓN #DENUNCIA DELITO‼️Colegio #electoral de Santa Frigida de Chanmartin en Madrid. A la #socialista S…,"Conil de la Frontera, España",2178,645,13,28465,14073,['gob_corrupto_es'],gob_corrupto_es
1662780808984412161,09/09/01,23/05/28,josegreghg,"RT @el_pais: 🗳️ Elecciones municipales y autonómicas 28-M, en directo | Isabel Díaz Ayuso acude a votar al distrito de Chamberí, en Madrid:…","Bogotá, D.C., Colombia",957,74747,7,30034,5443,['el_pais'],el_pais
1662780802130747393,10/09/29,23/05/28,OndaCero_es,"🗳🔵 Pasado el mediodía, Ayuso ha votado en el Colegio La Inmaculada Marillac, en el distrito de Chamberí. 

https://t.co/pBh2Y8UGic",,834,589445,0,198612,551,[],
1662780772393054208,09/09/26,23/05/28,bertoue,RT @publico_es: ¿Tiene Almeida dos caras? David Torres asegura que el alcalde de Madrid es de una forma con los débiles y de otra muy difer…,,1016,103,142,16726,25336,['publico_es'],publico_es
1662780770740576256,08/11/19,23/05/28,Otto_Mas,"La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea voto movilizado de izquierda 🤞🏼 https://t.co/4TwMshbHsf","Madrid, Comunidad de Madrid España",1133,29075,18,166213,102497,[],
1662780763262074882,19/01/20,23/05/28,CCasafrio,Hoy es día de elecciones en #Madrid. Un día que se puede aprovechar también para acudir a los establecimientos de #hostelería y completar una jornada más que especial. ¡A degustar la mejor #gastronomía del mundo! https://t.co/cSHi28M04u,"Madrid, Comunidad de Madrid",188,21,0,578,16,[],
1662780741900460038,12/02/08,23/05/28,ppcarabanchel,RT @BorjaBenito: Ya he ejercido mi derecho al voto en las elecciones municipales y autonómicas 2023 con muchas ganas de que vivamos nuestro…,Madrid,2741,2511,2,24485,19716,['BorjaBenito'],BorjaBenito
1662780738851295235,14/08/27,23/05/28,barroso_89,"RT @NacionRotonda: Edición especial elecciones autonómicas madrileñas del Consultorio de Movilidad de la Doctora Rotonda: 

Hoy vamos a hab…",,131,30,350,309,1838,['NacionRotonda'],NacionRotonda
1662780722975744001,10/03/03,23/05/28,hdelosrios2,"@nosoyporpelos Pero vamos, en mi sección, y yo creo que en mi colegio, en las dos últimas elecciones municipales y autonómicas, ha ganado Más Madrid, seguido de cerca por el PSOE. Carmena arrasó en su día.",Madrid,1440,2377,0,116274,86148,['nosoyporpelos'],
1662780715333832704,16/06/30,23/05/28,Peliwars,"RT @elmundotoday: ⚡️DIRECTO #28M #eleccionesEMT

Arrancamos el seguimiento en directo de las elecciones autonómicas y municipales y de la v…",Templo Jedi de Galicia,345,799,281,24368,50146,['elmundotoday'],elmundotoday
1662780692864827393,14/06/22,23/05/28,jancelbes,"RT @ElHuffPost: Sotomayor: ""La colleja que le va a dar el pueblo de Madrid a Almeida va a ser clara y contundente"" #28M
https://t.co/oA3YlG…","Madrid, Comunidad de Madrid",6480,5880,99,194141,158548,['ElHuffPost'],ElHuffPost
1662780675563442177,21/05/14,23/05/28,lacronicadelhe3,ELECCIONES 2023. #28M. Operativo multimedia que la Comunidad de Madrid ha puesto en marcha hoy para que los ciudadanos conozcan los resultados del 28-M con información en tiempo real a pie de calle https://t.co/wePP7zcyMt,Alcalá de Henares,0,76,0,12264,1,[],
1662780603354284032,09/02/02,23/05/28,abc_es,"🔵 EN DIRECTO

🗳  Sigue con nosotros la jornada electoral en Madrid: datos de participación, sondeos, escrutinio, ganador y últimas noticias de los candidatos hoy

❗ ¡Entérate de todo lo que está pasando con nosotros!

 👉 https://t.co/1cxxDPNZWt https://t.co/8XIkizQArc",España,14620,2288854,1,592321,2396,[],
1662780526481092609,20/08/30,23/05/28,cs_moncloa,"🗳️ En la ciudad de Madrid, el dato es muy similar: un 29,27%. 

🗳️ En Alcobendas baja algo más de dos puntos, situándose en el 28,46%. 

🔸 Especial atención a estos lugares. En menos de una hora tendremos el dato de las elecciones municipales.",,1115,5566,1,16720,44235,[],
1662780485871730689,20/06/20,23/05/28,GalekNaughty,"@matteo_rg @electo_mania Hubo récord de participación. 

https://t.co/LFHJ00DFCG",Madrid,602,57,0,13074,51638,"['matteo_rg', 'electo_mania']",
